date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:59:43	240/240	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2002:29:51%20GMT	https://dreamslms.dreamstechnologies.com/robots.txt		(from )
07:59:44	87037/87037	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2020:34:28%20GMT	https://dreamslms.dreamstechnologies.com/html/	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/index.html	(from )
07:59:45	2924/2924	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b6c-60a70e45a4500%22	https://dreamslms.dreamstechnologies.com/html/assets/img/favicon.svg	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/img/favicon.svg	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:46	232953/232953	---M-Z	200	added ('OK')	text/css	etag:%2238df9-60aaf876ebd00-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/css/bootstrap.min.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:46	80831/80831	---M-Z	200	added ('OK')	text/css	etag:%2213bbf-60a70e6240880-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/plugins/fontawesome/css/fontawesome.min.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:47	102033/102033	---M-Z	200	added ('OK')	text/css	etag:%2218e91-60a70e6240880-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/plugins/fontawesome/css/all.min.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/plugins/fontawesome/css/all.min.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:47	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%22d1c-60a70e45a4500-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/css/owl.carousel.min.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:48	1018/1018	---M-Z	200	added ('OK')	text/css	etag:%223fa-60a70e45a4500-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/css/owl.theme.default.min.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:49	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%22767-60a70e45a4500-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/plugins/slick/slick.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/plugins/slick/slick.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:50	2664/2664	---M-Z	200	added ('OK')	text/css	etag:%22a68-60a70e45a4500-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/plugins/slick/slick-theme.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/plugins/slick/slick-theme.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:50	14989/14989	---M-Z	200	added ('OK')	text/css	etag:%223a8d-60a70e45a4500-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/plugins/select2/css/select2.min.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/plugins/select2/css/select2.min.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:51	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-60a70e45a4500-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/plugins/aos/aos.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/plugins/aos/aos.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:53	552786/552786	---MCZ	200	added ('OK')	text/css	etag:%2286f52-60aa6f8f63d80-gzip%22	https://dreamslms.dreamstechnologies.com/html/assets/css/style.css	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/assets/css/style.css	(from https://dreamslms.dreamstechnologies.com/html/)
07:59:53	87037/87037	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2020:34:28%20GMT	https://dreamslms.dreamstechnologies.com/html/index.html	C:/My%20Web%20Sites/FileMakr%20Temepelate/dreamslms.dreamstechnologies.com/html/index-2.html	(from https://dreamslms.dreamstechnologies.com/html/)
